inserts,ground_truth_volume_large,calculated_volume_large,ground_truth_volume_medium,calculated_volume_medium,ground_truth_volume_small,calculated_volume_small,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small,Rep
Low Density,98.2,90.20585537,21.2,22.73042541,0.8,0.334860806,19.6,18.04117107,4.2,4.546085081,0.2,0.066972161,1mm
Medium Density,98.2,87.87848832,21.2,19.88935173,0.8,0.52784807,39.3,35.15139533,8.5,7.955740693,0.3,0.211139228,1mm
High Density,98.2,86.14648812,21.2,20.67053428,0.8,0.815695939,78.5,68.9171905,17,16.53642742,0.6,0.652556751,1mm
Low Density,98.2,98.30085954,21.2,27.0388283,0.8,0.190878164,19.6,19.66017191,4.2,5.407765659,0.2,0.038175633,2mm
Medium Density,98.2,93.89171689,21.2,19.27041713,0.8,0.937248857,39.3,37.55668676,8.5,7.708166854,0.3,0.374899543,2mm
High Density,98.2,93.15881318,21.2,20.828385,0.8,0.83825846,78.5,74.52705054,17,16.662708,0.6,0.670606768,2mm
Low Density,98.2,99.74603055,21.2,27.45132971,0.8,0.012795403,19.6,19.94920611,4.2,5.490265942,0.2,0.002559081,22mAs
Medium Density,98.2,93.63222839,21.2,17.26774695,0.8,0.903350373,39.3,37.45289135,8.5,6.907098779,0.3,0.361340149,22mAs
High Density,98.2,93.5545313,21.2,17.64701662,0.8,1.215751336,78.5,74.84362504,17,14.1176133,0.6,0.972601069,22mAs
Low Density,98.2,101.3748387,21.2,14.9494636,0.8,0,19.6,20.27496774,4.2,2.98989272,0.2,0,34mAs
Medium Density,98.2,99.99056952,21.2,19.50310021,0.8,0.933105915,39.3,39.99622781,8.5,7.801240083,0.3,0.373242366,34mAs
High Density,98.2,93.15593848,21.2,21.34357478,0.8,0.478369447,78.5,74.52475078,17,17.07485982,0.6,0.382695557,34mAs
Low Density,98.2,96.21974186,21.2,23.38720142,0.8,0.512265669,19.6,19.24394837,4.2,4.677440284,0.2,0.102453134,80kV
Medium Density,98.2,99.39214731,21.2,20.38283701,0.8,0.316172831,39.3,39.75685892,8.5,8.153134802,0.3,0.126469133,80kV
High Density,98.2,91.49689907,21.2,21.20505856,0.8,0.775831533,78.5,73.19751926,17,16.96404685,0.6,0.620665227,80kV
Low Density,98.2,92.76070783,21.2,25.69021799,0.8,0,19.6,18.55214157,4.2,5.138043598,0.2,0,100kV
Medium Density,98.2,91.98982369,21.2,21.53094472,0.8,0.29477222,39.3,36.79592947,8.5,8.612377888,0.3,0.117908888,100kV
High Density,98.2,93.26895666,21.2,21.74581506,0.8,0.432956711,78.5,74.61516533,17,17.39665205,0.6,0.346365369,100kV
Low Density,98.2,94.92150251,21.2,24.32702031,0.8,0.514788312,19.6,18.9843005,4.2,4.865404061,0.2,0.102957662,FOV200
Medium Density,98.2,92.44965594,21.2,16.12965367,0.8,0.678080069,39.3,36.97986238,8.5,6.451861468,0.3,0.271232028,FOV200
High Density,98.2,88.56417753,21.2,18.4699248,0.8,0.698946386,78.5,70.85134202,17,14.77593984,0.6,0.559157109,FOV200
Low Density,98.2,93.65814507,21.2,18.0987471,0.8,0.202545277,19.6,18.73162901,4.2,3.619749419,0.2,0.040509055,FOV320
Medium Density,98.2,85.9960784,21.2,20.09545354,0.8,0.285088226,39.3,34.39843136,8.5,8.038181417,0.3,0.114035291,FOV320
High Density,98.2,91.7202542,21.2,20.13469544,0.8,0.650949493,78.5,73.37620336,17,16.10775635,0.6,0.520759594,FOV320
Low Density,98.2,95.14084166,21.2,25.73877172,0.8,0.360437874,19.6,19.02816833,4.2,5.147754345,0.2,0.072087575,IR2
Medium Density,98.2,86.86318335,21.2,18.04686415,0.8,1.049247626,39.3,34.74527334,8.5,7.218745661,0.3,0.41969905,IR2
High Density,98.2,91.49494568,21.2,19.25301496,0.8,0.943675415,78.5,73.19595654,17,15.40241197,0.6,0.754940332,IR2
Low Density,98.2,93.12662631,21.2,23.45026488,0.8,0.672816468,19.6,18.62532526,4.2,4.690052977,0.2,0.134563294,IR4
Medium Density,98.2,85.40538877,21.2,17.07099344,0.8,0.961750239,39.3,34.16215551,8.5,6.828397374,0.3,0.384700096,IR4
High Density,98.2,89.38590825,21.2,18.21852143,0.8,0.815572968,78.5,71.5087266,17,14.57481715,0.6,0.652458374,IR4
Low Density,98.2,95.13819688,21.2,25.44858132,0.8,0.328764032,19.6,19.02763938,4.2,5.089716264,0.2,0.065752806,Qr32
Medium Density,98.2,87.50176326,21.2,18.22262426,0.8,0.984949568,39.3,35.0007053,8.5,7.289049704,0.3,0.393979827,Qr32
High Density,98.2,91.19571421,21.2,19.3984003,0.8,0.854526985,78.5,72.95657137,17,15.51872024,0.6,0.683621588,Qr32
Low Density,98.2,96.24653575,21.2,27.00723172,0.8,1.188397059,19.6,19.24930715,4.2,5.401446344,0.2,0.237679412,Qr44
Medium Density,98.2,88.70186379,21.2,20.24559649,0.8,1.313087721,39.3,35.48074552,8.5,8.098238595,0.3,0.525235088,Qr44
High Density,98.2,94.32826493,21.2,22.30859605,0.8,1.084844049,78.5,75.46261194,17,17.84687684,0.6,0.867875239,Qr44
